yaw1,yaw2,pitch1,pitch2,intensity
43.0,133.0,-2.0,-2.0,5809957.469076271
43.0,133.0,-2.0,-1.9,5474180.803225891
43.0,133.0,-2.0,-1.7999999999999998,5128476.544910531
43.0,133.0,-2.0,-1.6999999999999997,4778377.584917939
43.0,133.0,-2.0,-1.5999999999999996,4447963.909450119
43.0,133.0,-2.0,-1.4999999999999996,4114577.307444194
43.0,133.0,-2.0,-1.3999999999999995,3778214.02386682
43.0,133.0,-2.0,-1.2999999999999994,3436035.3124304204
43.0,133.0,-2.0,-1.1999999999999993,3079528.08176148
43.0,133.0,-2.0,-1.0999999999999992,2754061.860454166
43.0,133.0,-2.0,-0.9999999999999991,2394406.0502486294
43.0,133.0,-2.0,-0.899999999999999,2057287.7545407338
43.0,133.0,-2.0,-0.7999999999999989,1708661.0787858118
43.0,133.0,-2.0,-0.6999999999999988,1345677.385922145
43.0,133.0,-2.0,-0.5999999999999988,1008079.7356807047
43.0,133.0,-2.0,-0.49999999999999867,687363.6254998478
43.0,133.0,-2.0,-0.3999999999999986,403426.8969808886
43.0,133.0,-2.0,-0.2999999999999985,125036.00976757344
43.0,133.0,-2.0,-0.1999999999999984,0.0
43.0,133.0,-2.0,-0.09999999999999831,0.0
43.0,133.0,-2.0,1.7763568394002505e-15,0.0
43.0,133.0,-2.0,0.10000000000000187,0.0
43.0,133.0,-2.0,0.20000000000000195,0.0
43.0,133.0,-2.0,0.30000000000000204,0.0
43.0,133.0,-2.0,0.40000000000000213,0.0
43.0,133.0,-2.0,0.5000000000000022,0.0
43.0,133.0,-2.0,0.6000000000000023,0.0
43.0,133.0,-2.0,0.7000000000000024,0.0
43.0,133.0,-2.0,0.8000000000000025,0.0
43.0,133.0,-2.0,0.9000000000000026,0.0
43.0,133.0,-2.0,1.0000000000000027,0.0
43.0,133.0,-2.0,1.1000000000000028,0.0
43.0,133.0,-2.0,1.2000000000000028,0.0
43.0,133.0,-2.0,1.300000000000003,0.0
43.0,133.0,-2.0,1.400000000000003,0.0
43.0,133.0,-2.0,1.500000000000003,0.0
43.0,133.0,-2.0,1.6000000000000032,0.0
43.0,133.0,-2.0,1.7000000000000033,0.0
43.0,133.0,-2.0,1.8000000000000034,0.0
43.0,133.0,-2.0,1.9000000000000035,0.0
43.0,133.0,-1.9,-2.0,6255302.1099254675
43.0,133.0,-1.9,-1.9,5924449.650679226
43.0,133.0,-1.9,-1.7999999999999998,5597297.510772579
43.0,133.0,-1.9,-1.6999999999999997,5255829.755883179
43.0,133.0,-1.9,-1.5999999999999996,4911369.685557134
43.0,133.0,-1.9,-1.4999999999999996,4558244.557125388
43.0,133.0,-1.9,-1.3999999999999995,4219128.886588245
43.0,133.0,-1.9,-1.2999999999999994,3874178.623383349
43.0,133.0,-1.9,-1.1999999999999993,3546082.2518311567
43.0,133.0,-1.9,-1.0999999999999992,3197962.4314270597
43.0,133.0,-1.9,-0.9999999999999991,2863861.5322986254
43.0,133.0,-1.9,-0.899999999999999,2518237.564899089
43.0,133.0,-1.9,-0.7999999999999989,2183797.5661488296
43.0,133.0,-1.9,-0.6999999999999988,1843505.668443734
43.0,133.0,-1.9,-0.5999999999999988,1474625.348750254
43.0,133.0,-1.9,-0.49999999999999867,1131130.2687174089
43.0,133.0,-1.9,-0.3999999999999986,818725.013236965
43.0,133.0,-1.9,-0.2999999999999985,506153.5544920388
43.0,133.0,-1.9,-0.1999999999999984,221857.56696024555
43.0,133.0,-1.9,-0.09999999999999831,0.0
43.0,133.0,-1.9,1.7763568394002505e-15,0.0
43.0,133.0,-1.9,0.10000000000000187,0.0
43.0,133.0,-1.9,0.20000000000000195,0.0
43.0,133.0,-1.9,0.30000000000000204,0.0
43.0,133.0,-1.9,0.40000000000000213,0.0
43.0,133.0,-1.9,0.5000000000000022,0.0
43.0,133.0,-1.9,0.6000000000000023,0.0
43.0,133.0,-1.9,0.7000000000000024,0.0
43.0,133.0,-1.9,0.8000000000000025,0.0
43.0,133.0,-1.9,0.9000000000000026,0.0
43.0,133.0,-1.9,1.0000000000000027,0.0
43.0,133.0,-1.9,1.1000000000000028,0.0
43.0,133.0,-1.9,1.2000000000000028,0.0
43.0,133.0,-1.9,1.300000000000003,0.0
43.0,133.0,-1.9,1.400000000000003,0.0
43.0,133.0,-1.9,1.500000000000003,0.0
43.0,133.0,-1.9,1.6000000000000032,0.0
43.0,133.0,-1.9,1.7000000000000033,0.0
43.0,133.0,-1.9,1.8000000000000034,0.0
43.0,133.0,-1.9,1.9000000000000035,0.0
43.0,133.0,-1.7999999999999998,-2.0,6680515.014509959
43.0,133.0,-1.7999999999999998,-1.9,6384850.251918308
43.0,133.0,-1.7999999999999998,-1.7999999999999998,6049371.715206928
43.0,133.0,-1.7999999999999998,-1.6999999999999997,5705222.120924436
43.0,133.0,-1.7999999999999998,-1.5999999999999996,5372237.045430307
43.0,133.0,-1.7999999999999998,-1.4999999999999996,5041916.999329758
43.0,133.0,-1.7999999999999998,-1.3999999999999995,4683060.663315358
43.0,133.0,-1.7999999999999998,-1.2999999999999994,4349550.930811642
43.0,133.0,-1.7999999999999998,-1.1999999999999993,4001674.533802468
43.0,133.0,-1.7999999999999998,-1.0999999999999992,3667805.7081780573
43.0,133.0,-1.7999999999999998,-0.9999999999999991,3330916.7694276143
43.0,133.0,-1.7999999999999998,-0.899999999999999,2985322.1687175864
43.0,133.0,-1.7999999999999998,-0.7999999999999989,2633854.4141183477
43.0,133.0,-1.7999999999999998,-0.6999999999999988,2302084.986181312
43.0,133.0,-1.7999999999999998,-0.5999999999999988,1955914.4131488896
43.0,133.0,-1.7999999999999998,-0.49999999999999867,1603859.7296691516
43.0,133.0,-1.7999999999999998,-0.3999999999999986,1265825.647365435
43.0,133.0,-1.7999999999999998,-0.2999999999999985,930441.40585076
43.0,133.0,-1.7999999999999998,-0.1999999999999984,611938.5765806139
43.0,133.0,-1.7999999999999998,-0.09999999999999831,321718.92606934014
43.0,133.0,-1.7999999999999998,1.7763568394002505e-15,77526.94000024773
43.0,133.0,-1.7999999999999998,0.10000000000000187,0.0
43.0,133.0,-1.7999999999999998,0.20000000000000195,0.0
43.0,133.0,-1.7999999999999998,0.30000000000000204,0.0
43.0,133.0,-1.7999999999999998,0.40000000000000213,0.0
43.0,133.0,-1.7999999999999998,0.5000000000000022,0.0
43.0,133.0,-1.7999999999999998,0.6000000000000023,0.0
43.0,133.0,-1.7999999999999998,0.7000000000000024,0.0
43.0,133.0,-1.7999999999999998,0.8000000000000025,0.0
43.0,133.0,-1.7999999999999998,0.9000000000000026,0.0
43.0,133.0,-1.7999999999999998,1.0000000000000027,0.0
43.0,133.0,-1.7999999999999998,1.1000000000000028,0.0
43.0,133.0,-1.7999999999999998,1.2000000000000028,0.0
43.0,133.0,-1.7999999999999998,1.300000000000003,0.0
43.0,133.0,-1.7999999999999998,1.400000000000003,0.0
43.0,133.0,-1.7999999999999998,1.500000000000003,0.0
43.0,133.0,-1.7999999999999998,1.6000000000000032,0.0
43.0,133.0,-1.7999999999999998,1.7000000000000033,0.0
43.0,133.0,-1.7999999999999998,1.8000000000000034,0.0
43.0,133.0,-1.7999999999999998,1.9000000000000035,0.0
43.0,133.0,-1.6999999999999997,-2.0,7013455.258419247
43.0,133.0,-1.6999999999999997,-1.9,6800141.274077753
43.0,133.0,-1.6999999999999997,-1.7999999999999998,6493186.383285911
43.0,133.0,-1.6999999999999997,-1.6999999999999997,6177558.549336975
43.0,133.0,-1.6999999999999997,-1.5999999999999996,5827725.941945479
43.0,133.0,-1.6999999999999997,-1.4999999999999996,5489044.153598452
43.0,133.0,-1.6999999999999997,-1.3999999999999995,5167196.179094206
43.0,133.0,-1.6999999999999997,-1.2999999999999994,4802589.236326477
43.0,133.0,-1.6999999999999997,-1.1999999999999993,4471842.545327655
43.0,133.0,-1.6999999999999997,-1.0999999999999992,4129543.2859789524
43.0,133.0,-1.6999999999999997,-0.9999999999999991,3789883.868622508
43.0,133.0,-1.6999999999999997,-0.899999999999999,3438655.9516954445
43.0,133.0,-1.6999999999999997,-0.7999999999999989,3101431.341825258
43.0,133.0,-1.6999999999999997,-0.6999999999999988,2778221.278481312
43.0,133.0,-1.6999999999999997,-0.5999999999999988,2420680.394569415
43.0,133.0,-1.6999999999999997,-0.49999999999999867,2082837.6625817923
43.0,133.0,-1.6999999999999997,-0.3999999999999986,1730553.902161727
43.0,133.0,-1.6999999999999997,-0.2999999999999985,1386591.367554134
43.0,133.0,-1.6999999999999997,-0.1999999999999984,1053804.4065668434
43.0,133.0,-1.6999999999999997,-0.09999999999999831,743224.7149254488
43.0,133.0,-1.6999999999999997,1.7763568394002505e-15,421366.3326761829
43.0,133.0,-1.6999999999999997,0.10000000000000187,176754.53512134464
43.0,133.0,-1.6999999999999997,0.20000000000000195,0.0
43.0,133.0,-1.6999999999999997,0.30000000000000204,0.0
43.0,133.0,-1.6999999999999997,0.40000000000000213,0.0
43.0,133.0,-1.6999999999999997,0.5000000000000022,0.0
43.0,133.0,-1.6999999999999997,0.6000000000000023,0.0
43.0,133.0,-1.6999999999999997,0.7000000000000024,0.0
43.0,133.0,-1.6999999999999997,0.8000000000000025,0.0
43.0,133.0,-1.6999999999999997,0.9000000000000026,0.0
43.0,133.0,-1.6999999999999997,1.0000000000000027,0.0
43.0,133.0,-1.6999999999999997,1.1000000000000028,0.0
43.0,133.0,-1.6999999999999997,1.2000000000000028,0.0
43.0,133.0,-1.6999999999999997,1.300000000000003,0.0
43.0,133.0,-1.6999999999999997,1.400000000000003,0.0
43.0,133.0,-1.6999999999999997,1.500000000000003,0.0
43.0,133.0,-1.6999999999999997,1.6000000000000032,0.0
43.0,133.0,-1.6999999999999997,1.7000000000000033,0.0
43.0,133.0,-1.6999999999999997,1.8000000000000034,0.0
43.0,133.0,-1.6999999999999997,1.9000000000000035,0.0
43.0,133.0,-1.5999999999999996,-2.0,7230375.286201565
43.0,133.0,-1.5999999999999996,-1.9,7082428.849873875
43.0,133.0,-1.5999999999999996,-1.7999999999999998,6857856.8359546885
43.0,133.0,-1.5999999999999996,-1.6999999999999997,6593452.370712326
43.0,133.0,-1.5999999999999996,-1.5999999999999996,6272155.062999865
43.0,133.0,-1.5999999999999996,-1.4999999999999996,5933637.845430991
43.0,133.0,-1.5999999999999996,-1.3999999999999995,5623299.459895053
43.0,133.0,-1.5999999999999996,-1.2999999999999994,5258819.690034576
43.0,133.0,-1.5999999999999996,-1.1999999999999993,4919676.7997101145
43.0,133.0,-1.5999999999999996,-1.0999999999999992,4580320.679358397
43.0,133.0,-1.5999999999999996,-0.9999999999999991,4254961.38234237
43.0,133.0,-1.5999999999999996,-0.899999999999999,3895275.613876002
43.0,133.0,-1.5999999999999996,-0.7999999999999989,3569488.1184516
43.0,133.0,-1.5999999999999996,-0.6999999999999988,3232108.6623120736
43.0,133.0,-1.5999999999999996,-0.5999999999999988,2891661.8168341713
43.0,133.0,-1.5999999999999996,-0.49999999999999867,2548143.22890373
43.0,133.0,-1.5999999999999996,-0.3999999999999986,2218635.945303744
43.0,133.0,-1.5999999999999996,-0.2999999999999985,1883209.3970957133
43.0,133.0,-1.5999999999999996,-0.1999999999999984,1524043.618632231
43.0,133.0,-1.5999999999999996,-0.09999999999999831,1173462.4107029317
43.0,133.0,-1.5999999999999996,1.7763568394002505e-15,860018.8373456688
43.0,133.0,-1.5999999999999996,0.10000000000000187,538136.7012264745
43.0,133.0,-1.5999999999999996,0.20000000000000195,262566.55808238493
43.0,133.0,-1.5999999999999996,0.30000000000000204,0.0
43.0,133.0,-1.5999999999999996,0.40000000000000213,0.0
43.0,133.0,-1.5999999999999996,0.5000000000000022,0.0
43.0,133.0,-1.5999999999999996,0.6000000000000023,0.0
43.0,133.0,-1.5999999999999996,0.7000000000000024,0.0
43.0,133.0,-1.5999999999999996,0.8000000000000025,0.0
43.0,133.0,-1.5999999999999996,0.9000000000000026,0.0
43.0,133.0,-1.5999999999999996,1.0000000000000027,0.0
43.0,133.0,-1.5999999999999996,1.1000000000000028,0.0
43.0,133.0,-1.5999999999999996,1.2000000000000028,0.0
43.0,133.0,-1.5999999999999996,1.300000000000003,0.0
43.0,133.0,-1.5999999999999996,1.400000000000003,0.0
43.0,133.0,-1.5999999999999996,1.500000000000003,0.0
