0.000661977218,2
0.000678518205,3
0.00074300979,4
0.000868913019,5
0.000943254854,6
0.000908075308,7
0.000767011545,8
0.00067607552,9
0.000652976509,10
0.000654011907,11
0.000672199123,12
0.000665083528,13
0.000661074417,14
0.000662402017,15
0.000669862668,16
0.000683722086,17
0.000643444771,18
0.00053214439,19
0.000334235752,20
0.000167948892,21
6.49193171e-05,22
2.65541639e-05,23
1.41305036e-05,24
1.01681035e-05,25
7.64763627e-06,26
5.58268675e-06,27
4.09687209e-06,28
2.99643625e-06,29
2.38478697e-06,30
