9.990199415887041141e+02,1.094360724377179849e+03,1.043289410075048636e+03,1.070563966473768232e+03,1.180735977166683824e+03,1.322523439323931598e+03,1.371755812264970700e+03,1.453631589828710048e+03,1.607655462326623137e+03,1.685542073899096522e+03,1.788029571142633358e+03,1.623839487013404778e+03,1.764553281578247379e+03,1.769398440882045634e+03,1.690837681357816791e+03,1.575861141860813859e+03,1.533563357511389086e+03,1.670199856674141301e+03,1.527781821209087411e+03,1.558685828369630372e+03,1.379385605254744405e+03,1.417975940564980419e+03,1.349125697371481465e+03,1.415712505333000081e+03,1.350613231618749069e+03,1.415616031141130179e+03,1.381217673918227092e+03,1.345143461287205810e+03,1.378306075183912526e+03,1.445878549869809149e+03,1.450907195863984725e+03,1.496123510619113858e+03,1.529760504547427672e+03,1.600570382234272529e+03,1.668963104911684241e+03,1.365055808605974562e+03,1.445569932169503318e+03,1.275255383739033732e+03,1.534513096807538204e+03,1.550100196817592860e+03,1.341542621052625918e+03,1.293518976532308670e+03,1.077095292775883991e+03,1.014852298737727324e+03,1.033188976606445976e+03,1.148734856235912730e+03,1.146433619595017717e+03,1.322138912006344071e+03,1.541539992689467454e+03,1.887190801051112430e+03,1.843242049187899738e+03,1.898467961818955018e+03,1.777259146764461548e+03,1.811592947375379936e+03,1.787847814753739613e+03,1.742857749795693053e+03,1.647397681030728108e+03,1.716598836974535971e+03,1.592794778776029261e+03,1.434607445811002890e+03,1.565561689758661942e+03,1.414260463371091191e+03,1.277591237705606090e+03,1.359730198791823113e+03,1.289584236992090155e+03,1.143679775938586545e+03,1.117183949552310878e+03,1.166456896628684717e+03,1.070533813372270288e+03,9.311161611313057165e+02,8.857264908226007947e+02,8.770947594670885792e+02,8.482111097109047932e+02,8.173132718873874865e+02,6.901965695056757113e+02,5.920158786325814617e+02,5.532839150741262984e+02,5.431836152227054981e+02,5.472827360556768781e+02,5.367575153201333933e+02,1.000000000000000000e+00
7.926574027927499628e+02,8.737432032171768697e+02,9.463753870892146551e+02,1.006003549729094971e+03,1.094610361104367030e+03,1.043872188322621696e+03,1.061801220132539356e+03,1.181457275793824238e+03,1.327015273683065288e+03,1.372907679331047348e+03,1.455276235458919018e+03,1.634097286706131399e+03,1.687829072027418761e+03,1.787875357456702432e+03,1.624050317179094236e+03,1.763856060855992837e+03,1.768245646323318852e+03,1.645766457989963783e+03,1.575003417820450977e+03,1.545143881663482262e+03,1.669944653589968084e+03,1.523459688887068978e+03,1.554540616762262744e+03,1.378554724249912624e+03,1.398308999169086292e+03,1.356243392519017107e+03,1.418333547246489161e+03,1.349700746756909439e+03,1.407609077376361256e+03,1.380256506798755709e+03,1.344013570596755471e+03,1.400842059407667421e+03,1.447375915731562600e+03,1.453419222521928987e+03,1.498350868217828065e+03,1.529477598627066072e+03,1.566098573714212989e+03,1.631110784005731603e+03,1.364360657462971858e+03,1.445396794205132665e+03,1.304223862237560070e+03,1.510325854641214164e+03,1.576011128054699157e+03,1.339052034154324474e+03,1.260162688815995807e+03,1.090352388559079827e+03,1.014944844456239025e+03,1.041372449073793859e+03,1.149609124077880324e+03,1.147929446966152682e+03,1.323329756437095057e+03,1.545361618032323577e+03,1.826821056419414617e+03,1.840769798047783070e+03,1.909333852068089072e+03,1.777541175709836352e+03,1.811940496555417212e+03,1.788377020489306233e+03,1.743684870767020584e+03,1.607939599644781310e+03,1.717027238039843041e+03,1.592503092049881843e+03,1.432194357221431801e+03,1.566111981838880411e+03,1.414079955581074273e+03,1.293383595441810940e+03,1.343842083718566073e+03,1.232592126441946675e+03,1.154531296186882628e+03,1.117092068585741799e+03,1.166812205920151428e+03,1.072110165116753024e+03,9.546961097661381928e+02,8.858130855718163730e+02,8.840929051606420899e+02,8.580704896983866092e+02,8.170113758219009696e+02,6.900544892281969851e+02,5.918818584293660479e+02,5.455715627148999829e+02,1.000000000000000000e+00
8.483511847725008010e+02,8.353816322916615036e+02,8.042183376955357517e+02,8.024192726935636983e+02,8.732052594520203002e+02,9.382559017846772349e+02,1.006117573515561617e+03,1.058581073209760689e+03,1.071516051221140970e+03,1.069393107705403736e+03,1.169366587725505269e+03,1.327960734205281824e+03,1.388408765402074778e+03,1.456904164430045967e+03,1.635315136119259023e+03,1.685688880461101462e+03,1.783150370387235171e+03,1.587994441619560348e+03,1.763185160531987776e+03,1.775407888697506678e+03,1.644724464398740565e+03,1.574172292895202645e+03,1.604278701807064408e+03,1.663931385433883861e+03,1.535002183481963812e+03,1.553673183082044716e+03,1.377786350611169155e+03,1.397677370113493453e+03,1.371314396566119967e+03,1.418118639984330912e+03,1.348812388552835955e+03,1.383500810149688732e+03,1.379325537669272080e+03,1.342916681097553919e+03,1.407486080081825094e+03,1.445687290547275552e+03,1.455913907706962391e+03,1.500564188224608642e+03,1.529211723886096934e+03,1.566919183880766923e+03,1.585650349625662329e+03,1.363689219536024211e+03,1.445238279130266164e+03,1.304091802879040642e+03,1.512600139529541138e+03,1.608458865851154997e+03,1.336616799416745607e+03,1.253442636358698110e+03,1.096612148859547460e+03,1.015044699363315772e+03,1.053904123425716534e+03,1.150480302646220025e+03,1.149415636349792294e+03,1.359628799486927846e+03,1.549151886564056440e+03,1.830874396204049390e+03,1.840645426982827757e+03,1.908552483347439875e+03,1.817528575354734357e+03,1.812300026778397296e+03,1.776733031755562706e+03,1.744504420670628633e+03,1.608072920052743484e+03,1.743055119784882663e+03,1.577236074952617855e+03,1.418476330209334265e+03,1.559442363860205660e+03,1.454828485968921086e+03,1.293550804216789174e+03,1.346099967505965651e+03,1.232517842261899432e+03,1.169252582682208185e+03,1.117003426105979543e+03,1.167040071898851693e+03,1.071793821065046586e+03,9.395451980588138667e+02,8.859000125650692326e+02,8.841845090895171779e+02,8.508446211832665540e+02,8.167149529447287932e+02,1.000000000000000000e+00
8.781064359799421482e+02,8.933354611682782433e+02,8.701499210651828662e+02,8.363952797120401783e+02,8.349070021652551077e+02,7.953629637557521619e+02,8.020639257277783827e+02,8.675911026741830483e+02,9.381403326571478374e+02,1.006235688276757969e+03,1.058817317919723337e+03,1.072118470125279828e+03,1.070049403132140469e+03,1.170059525351774255e+03,1.328900106110823344e+03,1.389559443145690466e+03,1.499540589576171897e+03,1.636525540377185280e+03,1.687920896067004833e+03,1.793823483572209625e+03,1.587281996744466596e+03,1.740485341750224507e+03,1.774307609545586274e+03,1.643946384535370271e+03,1.577766187612014164e+03,1.597392807003996950e+03,1.663962497809606248e+03,1.531040221811271749e+03,1.557008365249723283e+03,1.377041755723065990e+03,1.386199309626746071e+03,1.374695745535662354e+03,1.417918185285662730e+03,1.347947629476225302e+03,1.382988291740964542e+03,1.364165076897942072e+03,1.358609947269187160e+03,1.406037222129988322e+03,1.444042746825351969e+03,1.458390029782945021e+03,1.502762733599270632e+03,1.564251583021607530e+03,1.567739500746851718e+03,1.550327968212659243e+03,1.363040843388588200e+03,1.445093831207564790e+03,1.303972844962312138e+03,1.514855517402464557e+03,1.585495504536140061e+03,1.334236107843787750e+03,1.238409472297544198e+03,1.082091377830008014e+03,1.015151463232308515e+03,1.042662214310559875e+03,1.179829104873183496e+03,1.143020332657833478e+03,1.360847727329714417e+03,1.595708380967160792e+03,1.784423530399801848e+03,1.824917328483047640e+03,1.907799491201943965e+03,1.822800579142691959e+03,1.812670952504193565e+03,1.776535480042056406e+03,1.741720313490187436e+03,1.663000625152373914e+03,1.743369244372530829e+03,1.576936148623898816e+03,1.418463673938196962e+03,1.559549864603784727e+03,1.439838691872185564e+03,1.293718185180422552e+03,1.309499103976204879e+03,1.232446561346649105e+03,1.169240454669701421e+03,1.116918063988402537e+03,1.144374426361181577e+03,1.071483465082689236e+03,9.561919461663867423e+02,8.859871522318917414e+02,1.000000000000000000e+00
9.342737112662246091e+02,9.268065229717419697e+02,9.256809014912774956e+02,8.776187230538746462e+02,8.861593071016034173e+02,8.695866170747714250e+02,8.379480758485552769e+02,8.244564168066198135e+02,7.949648492505589275e+02,8.127982398299660645e+02,8.672392334785936328e+02,9.482496374990066670e+02,1.020816079911285897e+03,1.059055933174954134e+03,1.072716876591875689e+03,1.077513211475484241e+03,1.190200932191113679e+03,1.344511347359376032e+03,1.407072847257978765e+03,1.501197085520533619e+03,1.637727868505439801e+03,1.698636201753843352e+03,1.792871499328124173e+03,1.607550130314463559e+03,1.757361199509510470e+03,1.773240004164905258e+03,1.643193749466439840e+03,1.569488162070474118e+03,1.596555346089623299e+03,1.664007947592269147e+03,1.559064921186915626e+03,1.556214327394469819e+03,1.376320355349408146e+03,1.402091925326664523e+03,1.374051776670090476e+03,1.424188744218508418e+03,1.347106003155060762e+03,1.401867327982845154e+03,1.350555580576988177e+03,1.357616118677629629e+03,1.404627721328788084e+03,1.442441284642328128e+03,1.460846880108332698e+03,1.500028021083400290e+03,1.564082268144111595e+03,1.568558814042200993e+03,1.548537177617270572e+03,1.353055124792581182e+03,1.444962953261055191e+03,1.303866479347871518e+03,1.533350417549212807e+03,1.588261502264132560e+03,1.304752244077741580e+03,1.237192576658537291e+03,1.083630061923487119e+03,1.015264709559130097e+03,1.043415915550156342e+03,1.127031277158248031e+03,1.144459023979467929e+03,1.382286863636342787e+03,1.684979366201665243e+03,1.788128797794339107e+03,1.824822238449894485e+03,1.907074014997128643e+03,1.772334291647294549e+03,1.809295113618361711e+03,1.765670583529512669e+03,1.729675767052179481e+03,1.656518737078844424e+03,1.743678922875313447e+03,1.576643706889205532e+03,1.418454095271267079e+03,1.559656672500150307e+03,1.439670411423082442e+03,1.289794231263543907e+03,1.309476460958363987e+03,1.232378174864923039e+03,1.169230109909663497e+03,1.116835808285513167e+03,1.165773444995350928e+03,1.000000000000000000e+00
9.829187356208948358e+02,1.007855706236988794e+03,9.129905690194453882e+02,9.456800191021266073e+02,9.302839686919953692e+02,9.397796841209126342e+02,8.771451839369350409e+02,8.855186057712439833e+02,8.690390402305799853e+02,8.392540158103906833e+02,8.240127090152324172e+02,7.945787135258804028e+02,8.366707508518595660e+02,8.668987901997788867e+02,9.613107668656523401e+02,1.011137804530726044e+03,1.059296500860256174e+03,1.073310868713455648e+03,1.078159844331480826e+03,1.190899808439191474e+03,1.345423139544537662e+03,1.408179676152990623e+03,1.529852672952951025e+03,1.658419335148070104e+03,1.700850936499881072e+03,1.754708233511163826e+03,1.638676289248543753e+03,1.757471822533088471e+03,1.772204592070575927e+03,1.642465886378726282e+03,1.542278751792014646e+03,1.647460667660577883e+03,1.664066865437444221e+03,1.530129269062864751e+03,1.555446645028463536e+03,1.375621687789484213e+03,1.401143532140492425e+03,1.373429243836973228e+03,1.424060865329719945e+03,1.338600737224897784e+03,1.401228102544020430e+03,1.342691735572456082e+03,1.364248091312525048e+03,1.403256829595404724e+03,1.440882141462502886e+03,1.463283358661245529e+03,1.534955561289844354e+03,1.607362341600174204e+03,1.560459371625991480e+03,1.511184265628491175e+03,1.360109755874861548e+03,1.417990819789668421e+03,1.328228542126832053e+03,1.535708513300562799e+03,1.589232879335205325e+03,1.302558675260847849e+03,1.236005919641757146e+03,1.083372000841178078e+03,1.019838355708571385e+03,1.043852953130186961e+03,1.127884874854969894e+03,1.122760268035902754e+03,1.383439035455879321e+03,1.688347613286420255e+03,1.791804562407819276e+03,1.834260935670764411e+03,1.912030406312645709e+03,1.760256041497857495e+03,1.815875759519459962e+03,1.765451669068098454e+03,1.730256196060078764e+03,1.684639762739424441e+03,1.743984149969644932e+03,1.576358659753910388e+03,1.443648422307447618e+03,1.559762832571756462e+03,1.406838900039999317e+03,1.265055400424258551e+03,1.309456159575066522e+03,1.232312654629826739e+03,1.000000000000000000e+00
9.755610679225744661e+02,1.014529543696625751e+03,9.670912603420620144e+02,9.559757978112965020e+02,1.005052600549592853e+03,9.180506052453979464e+02,9.451002103440526980e+02,9.297639142729810828e+02,9.320695744461028198e+02,8.700636627094166897e+02,8.848954824706606814e+02,8.685070078857856970e+02,8.337203552700063938e+02,8.160775781382740206e+02,7.942043547769771976e+02,8.471307932000928531e+02,8.757745913561689122e+02,9.612522519512253893e+02,1.011249573768193613e+03,1.044916343000865027e+03,1.073900187776247549e+03,1.072684654706442871e+03,1.197703708591671102e+03,1.346327572417503234e+03,1.409275804024997342e+03,1.531514864639006419e+03,1.659625041933160901e+03,1.699233361275668130e+03,1.743031158233531642e+03,1.655912539364009717e+03,1.722374415839999301e+03,1.758532296767835760e+03,1.641762333518866853e+03,1.537865017605207186e+03,1.646630549236434490e+03,1.664138580235765630e+03,1.528504213970900310e+03,1.554704677335652150e+03,1.386789092655476679e+03,1.400222376045918054e+03,1.375435520351366449e+03,1.423946807956234807e+03,1.337782880721058518e+03,1.400607674681005619e+03,1.342022431482992033e+03,1.363243146888042702e+03,1.401923667506283891e+03,1.490374377659636139e+03,1.465698618266941139e+03,1.537174133975798668e+03,1.608083972474614256e+03,1.551510072779304210e+03,1.509467275238576804e+03,1.359450021386727258e+03,1.325313504235041364e+03,1.328199038804755446e+03,1.537142939536282256e+03,1.588749203216713795e+03,1.333419584478381012e+03,1.260426212714641451e+03,1.079629356160537554e+03,1.011234281303489070e+03,1.044291299405340851e+03,1.128734044053933985e+03,1.124782971278539890e+03,1.384587324913320344e+03,1.678345693456137724e+03,1.795449518315459045e+03,1.834260191514167445e+03,1.910525791833521907e+03,1.798267362964072618e+03,1.816164473991923387e+03,1.743817602410032123e+03,1.746717052036569612e+03,1.684820779635412237e+03,1.744284902349332697e+03,1.575074541817162299e+03,1.443670759845197836e+03,1.570882060220580570e+03,1.406566400751348965e+03,1.000000000000000000e+00
1.024303468893000172e+03,1.028425812020851708e+03,1.024348767753553830e+03,9.880266883977221823e+02,1.006076505624651986e+03,9.665666226680302771e+02,9.554273194705643846e+02,9.970567029342096248e+02,9.286233151949711555e+02,9.627518957002237130e+02,9.066572290408962544e+02,9.315360123643612269e+02,8.576470428225633214e+02,8.735047520794718139e+02,8.679901884611889500e+02,8.333268595737453097e+02,8.156765477724859466e+02,7.842462755627939259e+02,8.467984570903888653e+02,8.754364708159550901e+02,9.611997038553513448e+02,1.011364449361794641e+03,1.045147073539153553e+03,1.078179946923920852e+03,1.073312235699748953e+03,1.198383653264703526e+03,1.354934943350157937e+03,1.410360720000330730e+03,1.577815933443792801e+03,1.663601359181283442e+03,1.701382862099794238e+03,1.742150097304734572e+03,1.658907978280257339e+03,1.722553793459552026e+03,1.756724718142156462e+03,1.641082380807402842e+03,1.537157864933700239e+03,1.645826403020223779e+03,1.670662128093021010e+03,1.526921428611490228e+03,1.553987612570012743e+03,1.365051558360763920e+03,1.393713885281218609e+03,1.370914629618505614e+03,1.423846146152885240e+03,1.336987236345062684e+03,1.376177436644203226e+03,1.341376556681022521e+03,1.362268491244711640e+03,1.400627455781777371e+03,1.492942010970391493e+03,1.466881040847600389e+03,1.539373272711666232e+03,1.608804641857422666e+03,1.515867514380064222e+03,1.507792785741423813e+03,1.358812250598362425e+03,1.325215908431369826e+03,1.385740475215776087e+03,1.552906925422623317e+03,1.588287529537156388e+03,1.331726584338615794e+03,1.259281380669677674e+03,1.067485229605808854e+03,9.817810173818338626e+02,1.044730478256499737e+03,1.129578232861892729e+03,1.141990094568917584e+03,1.396455606262537913e+03,1.679420145349012955e+03,1.753514254601581797e+03,1.834277442573865756e+03,1.910784923656437741e+03,1.768052058893338199e+03,1.833275413221354484e+03,1.754734709103031264e+03,1.747489896470318854e+03,1.673899755403344443e+03,1.744581154328608591e+03,1.574763064411695495e+03,1.000000000000000000e+00
1.048207008451763159e+03,1.047863726420043122e+03,1.020262435865770158e+03,1.023763056390889005e+03,1.027984159316979003e+03,1.023860770837460564e+03,9.874828859517322144e+02,1.004681339570061027e+03,9.730594633342993802e+02,9.488270589937379782e+02,9.923723660098204391e+02,9.329217138242465808e+02,9.621959336258501025e+02,9.061755828014941017e+02,9.310180810603660575e+02,8.572343521961842043e+02,8.850010796089222822e+02,8.674883461196498047e+02,8.329454581868074001e+02,8.152876428670110727e+02,7.790808822925121149e+02,8.464769062369100538e+02,8.817069205918214720e+02,9.611529747646820852e+02,1.011482147401290831e+03,1.045378838269472453e+03,1.063750176084904297e+03,1.073933649307527503e+03,1.199057208527552802e+03,1.355820389694734331e+03,1.411433964834377548e+03,1.579535850634003282e+03,1.665877494677185041e+03,1.703505410869230673e+03,1.741296930095239986e+03,1.681501440788170839e+03,1.722741376481830457e+03,1.747994524906872357e+03,1.640425456800676102e+03,1.536473697698618253e+03,1.645047642891498072e+03,1.670797093641899437e+03,1.525380031819599253e+03,1.541308245034937045e+03,1.380382629339330606e+03,1.392849282347081271e+03,1.366862812233624481e+03,1.423758233001758299e+03,1.342651470987671701e+03,1.375764604619214197e+03,1.340753408879054177e+03,1.362987647088920312e+03,1.425641914815957080e+03,1.520996554724582438e+03,1.478090749425684635e+03,1.547154409398448024e+03,1.577933390040166159e+03,1.516697390459633198e+03,1.506160007335276759e+03,1.378102731416712913e+03,1.325129875560844084e+03,1.386394309352384653e+03,1.532798047415973315e+03,1.564514807951294642e+03,1.357723217310303198e+03,1.258165795096872216e+03,1.070132790341382588e+03,9.816523681091789513e+02,1.045170228401560507e+03,1.130417084257266652e+03,1.143978946426071161e+03,1.442026590900047267e+03,1.680492983384391664e+03,1.756815097356332899e+03,1.834311861215081308e+03,1.911042534627342548e+03,1.768135075793301439e+03,1.833554944246092873e+03,1.754550877745082744e+03,1.747708457590324997e+03,1.000000000000000000e+00
1.048669699425129920e+03,1.048344201608979347e+03,1.048012739976371222e+03,1.047675319415641297e+03,1.047332220861498172e+03,1.019696511968515665e+03,1.023238952892645784e+03,1.020382755335475167e+03,1.023387795454968909e+03,9.869552546524255376e+02,1.004166460779354338e+03,9.619218895884055200e+02,9.483148828880002839e+02,9.824014692940751274e+02,9.586771993389534146e+02,9.583529204565577402e+02,9.057083363686471102e+02,9.360610115597908134e+02,8.671936096581172251e+02,8.765541353979026553e+02,8.670011405980709469e+02,8.325758100510333861e+02,8.149106520032777325e+02,7.787645036700985202e+02,8.461659515944497798e+02,8.814065599091295553e+02,9.583902125382830945e+02,1.011602399382009821e+03,1.045611384068143707e+03,1.064309908126719165e+03,1.081717535143709028e+03,1.201479418423838524e+03,1.356697007541058156e+03,1.412494872587649752e+03,1.581232037998110854e+03,1.672083456878129255e+03,1.695413073047104035e+03,1.755348674338160436e+03,1.689654207369859932e+03,1.755580918708515583e+03,1.747123046302340981e+03,1.634581448011338580e+03,1.504282149509480405e+03,1.644293752087138273e+03,1.670941832091184096e+03,1.552169348200593959e+03,1.528179247026483381e+03,1.379866695809364501e+03,1.392010045099963463e+03,1.367527073981038484e+03,1.416111298125741996e+03,1.358777242711085819e+03,1.375369858140379392e+03,1.340152370844422421e+03,1.362075003585590139e+03,1.413041206589203966e+03,1.488264956113486960e+03,1.480472261304984841e+03,1.553514268043131551e+03,1.578628238210015297e+03,1.517522567343251012e+03,1.494678132139870058e+03,1.377397692446303381e+03,1.325055024361246979e+03,1.387046819093700378e+03,1.494305338463595263e+03,1.561580593254886708e+03,1.355984565492851743e+03,1.257078829672524080e+03,1.072229063593961655e+03,9.815330474864624648e+02,1.065003821491699000e+03,1.112835660358469340e+03,1.145947167175626873e+03,1.438126475009695014e+03,1.681563133701672314e+03,1.760085046131271156e+03,1.834362582081374512e+03,1.911298651994982265e+03,1.768229564641072102e+03,1.000000000000000000e+00
